# 4aecb678-807d-4621-b23c-c4c136113f5e
# 6e606bd4c2c9338f6d3dcddbf5b310adfc803c43
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; wr_m; wl_m
8.937; -0.411; -0.183; -0.269; 0.364; 1.319; 0.332; 0.352; 1.068
8.987; -0.363; -0.195; -0.251; 0.354; 1.331; 0.336; 0.342; 1.086
9.037; -0.315; -0.207; -0.234; 0.345; 1.344; 0.340; 0.330; 1.103
9.087; -0.266; -0.219; -0.217; 0.336; 1.357; 0.345; 0.322; 1.119
9.137; -0.217; -0.229; -0.200; 0.327; 1.369; 0.349; 0.312; 1.134
9.187; -0.168; -0.238; -0.184; 0.319; 1.382; 0.352; 0.304; 1.148
9.237; -0.119; -0.247; -0.168; 0.311; 1.394; 0.356; 0.298; 1.161
9.286; -0.070; -0.255; -0.153; 0.304; 1.407; 0.359; 0.290; 1.173
9.336; -0.020; -0.262; -0.138; 0.294; 1.420; 0.366; 0.284; 1.184
9.386; 0.029; -0.269; -0.124; 0.278; 1.433; 0.388; 0.280; 1.194
9.436; 0.079; -0.275; -0.110; 0.262; 1.446; 0.411; 0.273; 1.203
9.486; 0.129; -0.280; -0.098; 0.245; 1.460; 0.435; 0.270; 1.211
9.536; 0.178; -0.284; -0.086; 0.228; 1.475; 0.461; 0.267; 1.218
9.586; 0.228; -0.288; -0.075; 0.211; 1.491; 0.488; 0.262; 1.224
9.636; 0.278; -0.292; -0.065; 0.193; 1.507; 0.516; 0.260; 1.230
9.686; 0.328; -0.295; -0.056; 0.176; 1.524; 0.545; 0.257; 1.235
9.736; 0.378; -0.298; -0.047; 0.158; 1.542; 0.576; 0.254; 1.239
9.786; 0.427; -0.300; -0.040; 0.141; 1.560; 0.609; 0.255; 1.243
9.836; 0.477; -0.301; -0.033; 0.123; 1.579; 0.643; 0.251; 1.246
9.886; 0.527; -0.303; -0.027; 0.109; 1.600; 0.649; 0.250; 1.249
9.935; 0.577; -0.304; -0.022; 0.110; 1.620; 0.647; 0.251; 1.251
9.985; 0.627; -0.305; -0.016; 0.111; 1.640; 0.646; 0.248; 1.252
10.035; 0.677; -0.306; -0.011; 0.112; 1.659; 0.637; 0.248; 1.253
10.085; 0.727; -0.306; -0.005; 0.113; 1.678; 0.625; 0.248; 1.254
10.135; 0.777; -0.306; 0.000; 0.114; 1.697; 0.614; 0.246; 1.254
10.185; 0.826; -0.306; 0.006; 0.115; 1.715; 0.603; 0.248; 1.254
10.235; 0.876; -0.306; 0.012; 0.116; 1.732; 0.592; 0.247; 1.253
10.285; 0.926; -0.305; 0.018; 0.117; 1.749; 0.581; 0.247; 1.252
10.335; 0.976; -0.304; 0.023; 0.118; 1.766; 0.571; 0.250; 1.251
10.385; 1.026; -0.303; 0.029; 0.119; 1.782; 0.560; 0.249; 1.249
10.435; 1.076; -0.301; 0.035; 0.120; 1.797; 0.547; 0.250; 1.247
10.485; 1.126; -0.299; 0.041; 0.124; 1.812; 0.525; 0.254; 1.244
10.535; 1.176; -0.297; 0.048; 0.129; 1.827; 0.503; 0.254; 1.241
10.585; 1.226; -0.294; 0.054; 0.133; 1.841; 0.480; 0.258; 1.237
10.634; 1.275; -0.292; 0.061; 0.138; 1.854; 0.458; 0.260; 1.233
10.684; 1.325; -0.288; 0.068; 0.142; 1.866; 0.435; 0.263; 1.228
10.734; 1.375; -0.285; 0.075; 0.147; 1.877; 0.412; 0.269; 1.223
10.784; 1.425; -0.281; 0.083; 0.151; 1.888; 0.389; 0.271; 1.217
10.834; 1.475; -0.276; 0.090; 0.156; 1.899; 0.366; 0.276; 1.211
10.884; 1.524; -0.272; 0.098; 0.160; 1.908; 0.343; 0.282; 1.204
10.934; 1.574; -0.267; 0.106; 0.165; 1.917; 0.320; 0.286; 1.196
10.984; 1.624; -0.261; 0.115; 0.169; 1.925; 0.299; 0.293; 1.188
11.034; 1.673; -0.255; 0.123; 0.170; 1.933; 0.289; 0.299; 1.179
11.084; 1.723; -0.249; 0.132; 0.172; 1.941; 0.278; 0.306; 1.170
11.134; 1.772; -0.242; 0.140; 0.173; 1.948; 0.268; 0.315; 1.160
11.184; 1.822; -0.235; 0.149; 0.174; 1.955; 0.257; 0.321; 1.149
11.234; 1.871; -0.227; 0.158; 0.176; 1.961; 0.247; 0.330; 1.138
11.284; 1.920; -0.219; 0.167; 0.177; 1.968; 0.237; 0.340; 1.125
11.333; 1.969; -0.211; 0.175; 0.178; 1.974; 0.227; 0.348; 1.113
11.383; 2.018; -0.202; 0.184; 0.180; 1.979; 0.217; 0.359; 1.099
